trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.19999999999999982, 'e': 0.0632917683596407}",20,0,23.101313187480525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.19999999999999982, 'e': 0.06203850737735829}",20,10,18.076162994779306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.19999999999999982, 'e': 0.06081006262521795}",25,14,17.048446724120236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.19999999999999982, 'e': 0.05960594270893937}",30,15,16.354032277982494,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.19999999999999982, 'e': 0.05842566596450083}",25,13,18.991594458665983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.19999999999999982, 'e': 0.05726876026546736}",20,6,19.14624548356621,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.19999999999999982, 'e': 0.056134762834133725}",20,9,21.25255907081654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.19999999999999982, 'e': 0.05502322005640723}",25,11,20.509477517687174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.19999999999999982, 'e': 0.05393368730035602}",25,13,-8.541113095572783,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.19999999999999982, 'e': 0.05286572873835037}",20,12,15.499040527849171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.19999999999999982, 'e': 0.05181891717272583}",20,12,4.476664845602568,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.19999999999999982, 'e': 0.0507928338648985}",20,5,26.31918258557231,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.19999999999999982, 'e': 0.049787068367863944}",20,5,6.406446699804814,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.19999999999999982, 'e': 0.04880121836201296}",20,9,18.203010982408586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.19999999999999982, 'e': 0.04783488949419837}",20,13,13.328256209340724,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.19999999999999982, 'e': 0.046887695219988486}",20,10,17.801227195521324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
